feature_group,original_feature,principal_component,contribution
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n12_n23_l0,M-H_M_Ce_Ce_PC4,-0.022036
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n12_n23_l1,M-H_M_Ce_Ce_PC4,0.019001
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n12_n23_l2,M-H_M_Ce_Ce_PC4,0.027798
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n12_n23_l3,M-H_M_Ce_Ce_PC4,-0.137880
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n12_n23_l4,M-H_M_Ce_Ce_PC4,-0.015752
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n13_n23_l0,M-H_M_Ce_Ce_PC4,-0.034515
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n13_n23_l1,M-H_M_Ce_Ce_PC4,0.152087
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n13_n23_l2,M-H_M_Ce_Ce_PC4,0.138330
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n13_n23_l3,M-H_M_Ce_Ce_PC4,-0.313621
M-H_M_Ce_Ce,M-H_M_Ce_Ce_n13_n23_l4,M-H_M_Ce_Ce_PC4,0.382025
M-H_H_H_H,M-H_H_H_H_n10_n20_l0,M-H_H_H_H_PC1,1.000000
M-H_H_H_H,M-H_H_H_H_n10_n20_l1,M-H_H_H_H_PC1,0.000000
M-H_H_H_H,M-H_H_H_H_n10_n20_l2,M-H_H_H_H_PC1,0.000000
M-H_H_H_H,M-H_H_H_H_n10_n20_l3,M-H_H_H_H_PC1,0.000000
M-H_H_H_H,M-H_H_H_H_n10_n20_l4,M-H_H_H_H_PC1,0.000000
M-H_H_H_H,M-H_H_H_H_n10_n21_l0,M-H_H_H_H_PC1,0.000000
M-H_H_H_H,M-H_H_H_H_n10_n21_l1,M-H_H_H_H_PC1,0.000000
M-H_H_H_H,M-H_H_H_H_n10_n21_l2,M-H_H_H_H_PC1,0.000000
M-H_H_H_H,M-H_H_H_H_n10_n21_l3,M-H_H_H_H_PC1,0.000000
M-H_H_H_H,M-H_H_H_H_n10_n21_l4,M-H_H_H_H_PC1,0.000000
M-H_H_H_O,M-H_H_H_O_n10_n20_l0,M-H_H_H_O_PC1,0.286037
M-H_H_H_O,M-H_H_H_O_n10_n20_l1,M-H_H_H_O_PC1,-0.247826
M-H_H_H_O,M-H_H_H_O_n10_n20_l2,M-H_H_H_O_PC1,0.276317
M-H_H_H_O,M-H_H_H_O_n10_n20_l3,M-H_H_H_O_PC1,-0.174395
M-H_H_H_O,M-H_H_H_O_n10_n20_l4,M-H_H_H_O_PC1,0.286037
M-H_H_H_O,M-H_H_H_O_n10_n21_l0,M-H_H_H_O_PC1,-0.247826
M-H_H_H_O,M-H_H_H_O_n10_n21_l1,M-H_H_H_O_PC1,0.276317
M-H_H_H_O,M-H_H_H_O_n10_n21_l2,M-H_H_H_O_PC1,-0.174395
M-H_H_H_O,M-H_H_H_O_n10_n21_l3,M-H_H_H_O_PC1,0.286037
M-H_H_H_O,M-H_H_H_O_n10_n21_l4,M-H_H_H_O_PC1,-0.247826
M-H_H_H_O,M-H_H_H_O_n10_n22_l0,M-H_H_H_O_PC1,0.276317
M-H_H_H_O,M-H_H_H_O_n10_n22_l1,M-H_H_H_O_PC1,-0.174395
M-H_H_H_O,M-H_H_H_O_n10_n22_l2,M-H_H_H_O_PC1,0.286037
M-H_H_H_O,M-H_H_H_O_n10_n22_l3,M-H_H_H_O_PC1,-0.247826
M-H_H_H_O,M-H_H_H_O_n10_n22_l4,M-H_H_H_O_PC1,0.276317
M-H_H_H_O,M-H_H_H_O_n10_n23_l0,M-H_H_H_O_PC1,-0.174395
M-H_H_H_O,M-H_H_H_O_n10_n20_l0,M-H_H_H_O_PC2,0.181363
M-H_H_H_O,M-H_H_H_O_n10_n20_l1,M-H_H_H_O_PC2,-0.252985
M-H_H_H_O,M-H_H_H_O_n10_n20_l2,M-H_H_H_O_PC2,-0.203842
M-H_H_H_O,M-H_H_H_O_n10_n20_l3,M-H_H_H_O_PC2,0.333997
M-H_H_H_O,M-H_H_H_O_n10_n20_l4,M-H_H_H_O_PC2,0.181363
M-H_H_H_O,M-H_H_H_O_n10_n21_l0,M-H_H_H_O_PC2,-0.252985
M-H_H_H_O,M-H_H_H_O_n10_n21_l1,M-H_H_H_O_PC2,-0.203842
M-H_H_H_O,M-H_H_H_O_n10_n21_l2,M-H_H_H_O_PC2,0.333997
M-H_H_H_O,M-H_H_H_O_n10_n21_l3,M-H_H_H_O_PC2,0.181363
M-H_H_H_O,M-H_H_H_O_n10_n21_l4,M-H_H_H_O_PC2,-0.252985
M-H_H_H_O,M-H_H_H_O_n10_n22_l0,M-H_H_H_O_PC2,-0.203842
M-H_H_H_O,M-H_H_H_O_n10_n22_l1,M-H_H_H_O_PC2,0.333997
M-H_H_H_O,M-H_H_H_O_n10_n22_l2,M-H_H_H_O_PC2,0.181363
M-H_H_H_O,M-H_H_H_O_n10_n22_l3,M-H_H_H_O_PC2,-0.252985
M-H_H_H_O,M-H_H_H_O_n10_n22_l4,M-H_H_H_O_PC2,-0.203842
M-H_H_H_O,M-H_H_H_O_n10_n23_l0,M-H_H_H_O_PC2,0.333997
M-H_H_H_M,M-H_H_H_M_n10_n20_l0,M-H_H_H_M_PC1,-0.264704
M-H_H_H_M,M-H_H_H_M_n10_n20_l1,M-H_H_H_M_PC1,0.264750
M-H_H_H_M,M-H_H_H_M_n10_n20_l2,M-H_H_H_M_PC1,-0.230544
M-H_H_H_M,M-H_H_H_M_n10_n20_l3,M-H_H_H_M_PC1,-0.238094
M-H_H_H_M,M-H_H_H_M_n10_n20_l4,M-H_H_H_M_PC1,-0.264704
M-H_H_H_M,M-H_H_H_M_n10_n21_l0,M-H_H_H_M_PC1,0.264750
M-H_H_H_M,M-H_H_H_M_n10_n21_l1,M-H_H_H_M_PC1,-0.230544
M-H_H_H_M,M-H_H_H_M_n10_n21_l2,M-H_H_H_M_PC1,-0.238094
M-H_H_H_M,M-H_H_H_M_n10_n21_l3,M-H_H_H_M_PC1,-0.264704
M-H_H_H_M,M-H_H_H_M_n10_n21_l4,M-H_H_H_M_PC1,0.264750
M-H_H_H_M,M-H_H_H_M_n10_n22_l0,M-H_H_H_M_PC1,-0.230544
M-H_H_H_M,M-H_H_H_M_n10_n22_l1,M-H_H_H_M_PC1,-0.238094
M-H_H_H_M,M-H_H_H_M_n10_n22_l2,M-H_H_H_M_PC1,-0.264704
M-H_H_H_M,M-H_H_H_M_n10_n22_l3,M-H_H_H_M_PC1,0.264750
M-H_H_H_M,M-H_H_H_M_n10_n22_l4,M-H_H_H_M_PC1,-0.230544
M-H_H_H_M,M-H_H_H_M_n10_n23_l0,M-H_H_H_M_PC1,-0.238094
M-H_H_H_M,M-H_H_H_M_n10_n20_l0,M-H_H_H_M_PC2,-0.012895
M-H_H_H_M,M-H_H_H_M_n10_n20_l1,M-H_H_H_M_PC2,0.013607
M-H_H_H_M,M-H_H_H_M_n10_n20_l2,M-H_H_H_M_PC2,0.373353
M-H_H_H_M,M-H_H_H_M_n10_n20_l3,M-H_H_H_M_PC2,-0.332048
M-H_H_H_M,M-H_H_H_M_n10_n20_l4,M-H_H_H_M_PC2,-0.012895
M-H_H_H_M,M-H_H_H_M_n10_n21_l0,M-H_H_H_M_PC2,0.013607
M-H_H_H_M,M-H_H_H_M_n10_n21_l1,M-H_H_H_M_PC2,0.373353
M-H_H_H_M,M-H_H_H_M_n10_n21_l2,M-H_H_H_M_PC2,-0.332048
M-H_H_H_M,M-H_H_H_M_n10_n21_l3,M-H_H_H_M_PC2,-0.012895
M-H_H_H_M,M-H_H_H_M_n10_n21_l4,M-H_H_H_M_PC2,0.013607
M-H_H_H_M,M-H_H_H_M_n10_n22_l0,M-H_H_H_M_PC2,0.373353
M-H_H_H_M,M-H_H_H_M_n10_n22_l1,M-H_H_H_M_PC2,-0.332048
M-H_H_H_M,M-H_H_H_M_n10_n22_l2,M-H_H_H_M_PC2,-0.012895
M-H_H_H_M,M-H_H_H_M_n10_n22_l3,M-H_H_H_M_PC2,0.013607
M-H_H_H_M,M-H_H_H_M_n10_n22_l4,M-H_H_H_M_PC2,0.373353
M-H_H_H_M,M-H_H_H_M_n10_n23_l0,M-H_H_H_M_PC2,-0.332048
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l0,M-H_H_H_Ce_PC1,0.312613
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l1,M-H_H_H_Ce_PC1,-0.309171
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l2,M-H_H_H_Ce_PC1,0.233795
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l3,M-H_H_H_Ce_PC1,0.045010
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l4,M-H_H_H_Ce_PC1,0.312613
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l0,M-H_H_H_Ce_PC1,-0.309171
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l1,M-H_H_H_Ce_PC1,0.233795
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l2,M-H_H_H_Ce_PC1,0.045010
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l3,M-H_H_H_Ce_PC1,0.312613
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l4,M-H_H_H_Ce_PC1,-0.309171
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l0,M-H_H_H_Ce_PC1,0.233795
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l1,M-H_H_H_Ce_PC1,0.045010
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l2,M-H_H_H_Ce_PC1,0.312613
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l3,M-H_H_H_Ce_PC1,-0.309171
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l4,M-H_H_H_Ce_PC1,0.233795
M-H_H_H_Ce,M-H_H_H_Ce_n10_n23_l0,M-H_H_H_Ce_PC1,0.045010
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l0,M-H_H_H_Ce_PC2,0.062153
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l1,M-H_H_H_Ce_PC2,-0.086198
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l2,M-H_H_H_Ce_PC2,-0.274859
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l3,M-H_H_H_Ce_PC2,0.403930
M-H_H_H_Ce,M-H_H_H_Ce_n10_n20_l4,M-H_H_H_Ce_PC2,0.062153
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l0,M-H_H_H_Ce_PC2,-0.086198
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l1,M-H_H_H_Ce_PC2,-0.274859
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l2,M-H_H_H_Ce_PC2,0.403930
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l3,M-H_H_H_Ce_PC2,0.062153
M-H_H_H_Ce,M-H_H_H_Ce_n10_n21_l4,M-H_H_H_Ce_PC2,-0.086198
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l0,M-H_H_H_Ce_PC2,-0.274859
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l1,M-H_H_H_Ce_PC2,0.403930
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l2,M-H_H_H_Ce_PC2,0.062153
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l3,M-H_H_H_Ce_PC2,-0.086198
M-H_H_H_Ce,M-H_H_H_Ce_n10_n22_l4,M-H_H_H_Ce_PC2,-0.274859
M-H_H_H_Ce,M-H_H_H_Ce_n10_n23_l0,M-H_H_H_Ce_PC2,0.403930
M-H_H_O_O,M-H_H_O_O_n10_n20_l0,M-H_H_O_O_PC1,0.111260
M-H_H_O_O,M-H_H_O_O_n10_n20_l1,M-H_H_O_O_PC1,-0.111633
M-H_H_O_O,M-H_H_O_O_n10_n20_l2,M-H_H_O_O_PC1,0.034962
M-H_H_O_O,M-H_H_O_O_n10_n20_l3,M-H_H_O_O_PC1,-0.000805
M-H_H_O_O,M-H_H_O_O_n10_n20_l4,M-H_H_O_O_PC1,0.110572
M-H_H_O_O,M-H_H_O_O_n10_n21_l0,M-H_H_O_O_PC1,-0.036903
M-H_H_O_O,M-H_H_O_O_n10_n21_l1,M-H_H_O_O_PC1,0.005527
M-H_H_O_O,M-H_H_O_O_n10_n21_l2,M-H_H_O_O_PC1,0.031757
M-H_H_O_O,M-H_H_O_O_n10_n21_l3,M-H_H_O_O_PC1,-0.012595
M-H_H_O_O,M-H_H_O_O_n10_n21_l4,M-H_H_O_O_PC1,-0.029397
M-H_H_O_O,M-H_H_O_O_n10_n22_l0,M-H_H_O_O_PC1,0.199416
M-H_H_O_O,M-H_H_O_O_n10_n22_l1,M-H_H_O_O_PC1,-0.203806
M-H_H_O_O,M-H_H_O_O_n10_n22_l2,M-H_H_O_O_PC1,0.149239
M-H_H_O_O,M-H_H_O_O_n10_n22_l3,M-H_H_O_O_PC1,-0.168830
M-H_H_O_O,M-H_H_O_O_n10_n22_l4,M-H_H_O_O_PC1,0.205003
M-H_H_O_O,M-H_H_O_O_n10_n23_l0,M-H_H_O_O_PC1,-0.190420
M-H_H_O_O,M-H_H_O_O_n10_n23_l1,M-H_H_O_O_PC1,0.184696
M-H_H_O_O,M-H_H_O_O_n10_n23_l2,M-H_H_O_O_PC1,-0.175498
M-H_H_O_O,M-H_H_O_O_n10_n23_l3,M-H_H_O_O_PC1,0.067721
M-H_H_O_O,M-H_H_O_O_n10_n23_l4,M-H_H_O_O_PC1,0.044799
M-H_H_O_O,M-H_H_O_O_n11_n21_l0,M-H_H_O_O_PC1,-0.041263
M-H_H_O_O,M-H_H_O_O_n11_n21_l1,M-H_H_O_O_PC1,-0.034298
M-H_H_O_O,M-H_H_O_O_n11_n21_l2,M-H_H_O_O_PC1,-0.106874
M-H_H_O_O,M-H_H_O_O_n11_n21_l3,M-H_H_O_O_PC1,-0.153010
M-H_H_O_O,M-H_H_O_O_n11_n21_l4,M-H_H_O_O_PC1,0.033316
M-H_H_O_O,M-H_H_O_O_n11_n22_l0,M-H_H_O_O_PC1,-0.135770
M-H_H_O_O,M-H_H_O_O_n11_n22_l1,M-H_H_O_O_PC1,0.160353
M-H_H_O_O,M-H_H_O_O_n11_n22_l2,M-H_H_O_O_PC1,-0.140362
M-H_H_O_O,M-H_H_O_O_n11_n22_l3,M-H_H_O_O_PC1,0.113921
M-H_H_O_O,M-H_H_O_O_n11_n22_l4,M-H_H_O_O_PC1,0.050958
M-H_H_O_O,M-H_H_O_O_n11_n23_l0,M-H_H_O_O_PC1,0.158842
M-H_H_O_O,M-H_H_O_O_n11_n23_l1,M-H_H_O_O_PC1,0.198436
M-H_H_O_O,M-H_H_O_O_n11_n23_l2,M-H_H_O_O_PC1,0.165917
M-H_H_O_O,M-H_H_O_O_n11_n23_l3,M-H_H_O_O_PC1,-0.138132
M-H_H_O_O,M-H_H_O_O_n11_n23_l4,M-H_H_O_O_PC1,-0.202106
M-H_H_O_O,M-H_H_O_O_n12_n22_l0,M-H_H_O_O_PC1,0.198425
M-H_H_O_O,M-H_H_O_O_n12_n22_l1,M-H_H_O_O_PC1,-0.181076
M-H_H_O_O,M-H_H_O_O_n12_n22_l2,M-H_H_O_O_PC1,0.155970
M-H_H_O_O,M-H_H_O_O_n12_n22_l3,M-H_H_O_O_PC1,-0.080765
M-H_H_O_O,M-H_H_O_O_n12_n22_l4,M-H_H_O_O_PC1,-0.140364
M-H_H_O_O,M-H_H_O_O_n12_n23_l0,M-H_H_O_O_PC1,0.162053
M-H_H_O_O,M-H_H_O_O_n12_n23_l1,M-H_H_O_O_PC1,0.178652
M-H_H_O_O,M-H_H_O_O_n12_n23_l2,M-H_H_O_O_PC1,0.179965
M-H_H_O_O,M-H_H_O_O_n12_n23_l3,M-H_H_O_O_PC1,-0.170001
M-H_H_O_O,M-H_H_O_O_n12_n23_l4,M-H_H_O_O_PC1,-0.186698
M-H_H_O_O,M-H_H_O_O_n13_n23_l0,M-H_H_O_O_PC1,0.196713
M-H_H_O_O,M-H_H_O_O_n13_n23_l1,M-H_H_O_O_PC1,-0.187328
M-H_H_O_O,M-H_H_O_O_n13_n23_l2,M-H_H_O_O_PC1,0.169047
M-H_H_O_O,M-H_H_O_O_n13_n23_l3,M-H_H_O_O_PC1,-0.107462
M-H_H_O_O,M-H_H_O_O_n13_n23_l4,M-H_H_O_O_PC1,-0.123120
M-H_H_O_O,M-H_H_O_O_n10_n20_l0,M-H_H_O_O_PC2,-0.085312
M-H_H_O_O,M-H_H_O_O_n10_n20_l1,M-H_H_O_O_PC2,0.054204
M-H_H_O_O,M-H_H_O_O_n10_n20_l2,M-H_H_O_O_PC2,-0.269323
M-H_H_O_O,M-H_H_O_O_n10_n20_l3,M-H_H_O_O_PC2,0.285372
M-H_H_O_O,M-H_H_O_O_n10_n20_l4,M-H_H_O_O_PC2,-0.026725
M-H_H_O_O,M-H_H_O_O_n10_n21_l0,M-H_H_O_O_PC2,0.266801
M-H_H_O_O,M-H_H_O_O_n10_n21_l1,M-H_H_O_O_PC2,-0.284275
M-H_H_O_O,M-H_H_O_O_n10_n21_l2,M-H_H_O_O_PC2,-0.273269
M-H_H_O_O,M-H_H_O_O_n10_n21_l3,M-H_H_O_O_PC2,0.283403
M-H_H_O_O,M-H_H_O_O_n10_n21_l4,M-H_H_O_O_PC2,-0.277074
M-H_H_O_O,M-H_H_O_O_n10_n22_l0,M-H_H_O_O_PC2,-0.085397
M-H_H_O_O,M-H_H_O_O_n10_n22_l1,M-H_H_O_O_PC2,0.065277
M-H_H_O_O,M-H_H_O_O_n10_n22_l2,M-H_H_O_O_PC2,-0.157355
M-H_H_O_O,M-H_H_O_O_n10_n22_l3,M-H_H_O_O_PC2,0.161692
M-H_H_O_O,M-H_H_O_O_n10_n22_l4,M-H_H_O_O_PC2,-0.040451
M-H_H_O_O,M-H_H_O_O_n10_n23_l0,M-H_H_O_O_PC2,0.115024
M-H_H_O_O,M-H_H_O_O_n10_n23_l1,M-H_H_O_O_PC2,-0.129791
M-H_H_O_O,M-H_H_O_O_n10_n23_l2,M-H_H_O_O_PC2,-0.076153
M-H_H_O_O,M-H_H_O_O_n10_n23_l3,M-H_H_O_O_PC2,0.227282
M-H_H_O_O,M-H_H_O_O_n10_n23_l4,M-H_H_O_O_PC2,-0.266206
M-H_H_O_O,M-H_H_O_O_n11_n21_l0,M-H_H_O_O_PC2,-0.088177
M-H_H_O_O,M-H_H_O_O_n11_n21_l1,M-H_H_O_O_PC2,0.063784
M-H_H_O_O,M-H_H_O_O_n11_n21_l2,M-H_H_O_O_PC2,-0.023813
M-H_H_O_O,M-H_H_O_O_n11_n21_l3,M-H_H_O_O_PC2,-0.055696
M-H_H_O_O,M-H_H_O_O_n11_n21_l4,M-H_H_O_O_PC2,-0.030462
M-H_H_O_O,M-H_H_O_O_n11_n22_l0,M-H_H_O_O_PC2,-0.102069
M-H_H_O_O,M-H_H_O_O_n11_n22_l1,M-H_H_O_O_PC2,0.150011
M-H_H_O_O,M-H_H_O_O_n11_n22_l2,M-H_H_O_O_PC2,-0.144650
M-H_H_O_O,M-H_H_O_O_n11_n22_l3,M-H_H_O_O_PC2,0.192074
M-H_H_O_O,M-H_H_O_O_n11_n22_l4,M-H_H_O_O_PC2,-0.130604
M-H_H_O_O,M-H_H_O_O_n11_n23_l0,M-H_H_O_O_PC2,0.009495
M-H_H_O_O,M-H_H_O_O_n11_n23_l1,M-H_H_O_O_PC2,0.051353
M-H_H_O_O,M-H_H_O_O_n11_n23_l2,M-H_H_O_O_PC2,-0.023285
M-H_H_O_O,M-H_H_O_O_n11_n23_l3,M-H_H_O_O_PC2,0.071015
M-H_H_O_O,M-H_H_O_O_n11_n23_l4,M-H_H_O_O_PC2,-0.019532
M-H_H_O_O,M-H_H_O_O_n12_n22_l0,M-H_H_O_O_PC2,-0.010894
M-H_H_O_O,M-H_H_O_O_n12_n22_l1,M-H_H_O_O_PC2,0.054969
M-H_H_O_O,M-H_H_O_O_n12_n22_l2,M-H_H_O_O_PC2,-0.061370
M-H_H_O_O,M-H_H_O_O_n12_n22_l3,M-H_H_O_O_PC2,0.131492
M-H_H_O_O,M-H_H_O_O_n12_n22_l4,M-H_H_O_O_PC2,-0.131695
M-H_H_O_O,M-H_H_O_O_n12_n23_l0,M-H_H_O_O_PC2,0.019115
M-H_H_O_O,M-H_H_O_O_n12_n23_l1,M-H_H_O_O_PC2,0.018358
M-H_H_O_O,M-H_H_O_O_n12_n23_l2,M-H_H_O_O_PC2,0.048530
M-H_H_O_O,M-H_H_O_O_n12_n23_l3,M-H_H_O_O_PC2,-0.119058
M-H_H_O_O,M-H_H_O_O_n12_n23_l4,M-H_H_O_O_PC2,-0.002182
M-H_H_O_O,M-H_H_O_O_n13_n23_l0,M-H_H_O_O_PC2,0.022969
M-H_H_O_O,M-H_H_O_O_n13_n23_l1,M-H_H_O_O_PC2,-0.064758
M-H_H_O_O,M-H_H_O_O_n13_n23_l2,M-H_H_O_O_PC2,0.058533
M-H_H_O_O,M-H_H_O_O_n13_n23_l3,M-H_H_O_O_PC2,-0.071632
M-H_H_O_O,M-H_H_O_O_n13_n23_l4,M-H_H_O_O_PC2,-0.154474
M-H_H_O_O,M-H_H_O_O_n10_n20_l0,M-H_H_O_O_PC3,-0.284219
M-H_H_O_O,M-H_H_O_O_n10_n20_l1,M-H_H_O_O_PC3,0.299857
M-H_H_O_O,M-H_H_O_O_n10_n20_l2,M-H_H_O_O_PC3,-0.098789
M-H_H_O_O,M-H_H_O_O_n10_n20_l3,M-H_H_O_O_PC3,0.008257
M-H_H_O_O,M-H_H_O_O_n10_n20_l4,M-H_H_O_O_PC3,-0.309486
M-H_H_O_O,M-H_H_O_O_n10_n21_l0,M-H_H_O_O_PC3,0.107574
M-H_H_O_O,M-H_H_O_O_n10_n21_l1,M-H_H_O_O_PC3,-0.030118
M-H_H_O_O,M-H_H_O_O_n10_n21_l2,M-H_H_O_O_PC3,-0.070262
M-H_H_O_O,M-H_H_O_O_n10_n21_l3,M-H_H_O_O_PC3,0.027677
M-H_H_O_O,M-H_H_O_O_n10_n21_l4,M-H_H_O_O_PC3,0.080646
M-H_H_O_O,M-H_H_O_O_n10_n22_l0,M-H_H_O_O_PC3,-0.019743
M-H_H_O_O,M-H_H_O_O_n10_n22_l1,M-H_H_O_O_PC3,0.003089
M-H_H_O_O,M-H_H_O_O_n10_n22_l2,M-H_H_O_O_PC3,-0.126897
M-H_H_O_O,M-H_H_O_O_n10_n22_l3,M-H_H_O_O_PC3,0.052286
M-H_H_O_O,M-H_H_O_O_n10_n22_l4,M-H_H_O_O_PC3,-0.002475
M-H_H_O_O,M-H_H_O_O_n10_n23_l0,M-H_H_O_O_PC3,0.045974
M-H_H_O_O,M-H_H_O_O_n10_n23_l1,M-H_H_O_O_PC3,-0.032076
M-H_H_O_O,M-H_H_O_O_n10_n23_l2,M-H_H_O_O_PC3,-0.120835
M-H_H_O_O,M-H_H_O_O_n10_n23_l3,M-H_H_O_O_PC3,0.053062
M-H_H_O_O,M-H_H_O_O_n10_n23_l4,M-H_H_O_O_PC3,0.063011
M-H_H_O_O,M-H_H_O_O_n11_n21_l0,M-H_H_O_O_PC3,0.330638
M-H_H_O_O,M-H_H_O_O_n11_n21_l1,M-H_H_O_O_PC3,-0.319331
M-H_H_O_O,M-H_H_O_O_n11_n21_l2,M-H_H_O_O_PC3,0.068159
M-H_H_O_O,M-H_H_O_O_n11_n21_l3,M-H_H_O_O_PC3,0.035618
M-H_H_O_O,M-H_H_O_O_n11_n21_l4,M-H_H_O_O_PC3,0.300199
M-H_H_O_O,M-H_H_O_O_n11_n22_l0,M-H_H_O_O_PC3,-0.134915
M-H_H_O_O,M-H_H_O_O_n11_n22_l1,M-H_H_O_O_PC3,-0.076630
M-H_H_O_O,M-H_H_O_O_n11_n22_l2,M-H_H_O_O_PC3,0.003438
M-H_H_O_O,M-H_H_O_O_n11_n22_l3,M-H_H_O_O_PC3,-0.116143
M-H_H_O_O,M-H_H_O_O_n11_n22_l4,M-H_H_O_O_PC3,0.167317
M-H_H_O_O,M-H_H_O_O_n11_n23_l0,M-H_H_O_O_PC3,0.163802
M-H_H_O_O,M-H_H_O_O_n11_n23_l1,M-H_H_O_O_PC3,-0.029332
M-H_H_O_O,M-H_H_O_O_n11_n23_l2,M-H_H_O_O_PC3,0.134553
M-H_H_O_O,M-H_H_O_O_n11_n23_l3,M-H_H_O_O_PC3,0.033631
M-H_H_O_O,M-H_H_O_O_n11_n23_l4,M-H_H_O_O_PC3,-0.037022
M-H_H_O_O,M-H_H_O_O_n12_n22_l0,M-H_H_O_O_PC3,-0.001948
M-H_H_O_O,M-H_H_O_O_n12_n22_l1,M-H_H_O_O_PC3,-0.033527
M-H_H_O_O,M-H_H_O_O_n12_n22_l2,M-H_H_O_O_PC3,0.124375
M-H_H_O_O,M-H_H_O_O_n12_n22_l3,M-H_H_O_O_PC3,-0.041674
M-H_H_O_O,M-H_H_O_O_n12_n22_l4,M-H_H_O_O_PC3,0.167104
M-H_H_O_O,M-H_H_O_O_n12_n23_l0,M-H_H_O_O_PC3,0.223867
M-H_H_O_O,M-H_H_O_O_n12_n23_l1,M-H_H_O_O_PC3,-0.017483
M-H_H_O_O,M-H_H_O_O_n12_n23_l2,M-H_H_O_O_PC3,0.152788
M-H_H_O_O,M-H_H_O_O_n12_n23_l3,M-H_H_O_O_PC3,0.113300
M-H_H_O_O,M-H_H_O_O_n12_n23_l4,M-H_H_O_O_PC3,-0.156502
M-H_H_O_O,M-H_H_O_O_n13_n23_l0,M-H_H_O_O_PC3,0.095011
M-H_H_O_O,M-H_H_O_O_n13_n23_l1,M-H_H_O_O_PC3,-0.076839
M-H_H_O_O,M-H_H_O_O_n13_n23_l2,M-H_H_O_O_PC3,0.108294
M-H_H_O_O,M-H_H_O_O_n13_n23_l3,M-H_H_O_O_PC3,0.173831
M-H_H_O_O,M-H_H_O_O_n13_n23_l4,M-H_H_O_O_PC3,0.140765
M-H_H_O_O,M-H_H_O_O_n10_n20_l0,M-H_H_O_O_PC4,0.053962
M-H_H_O_O,M-H_H_O_O_n10_n20_l1,M-H_H_O_O_PC4,-0.062096
M-H_H_O_O,M-H_H_O_O_n10_n20_l2,M-H_H_O_O_PC4,0.035114
M-H_H_O_O,M-H_H_O_O_n10_n20_l3,M-H_H_O_O_PC4,-0.023208
M-H_H_O_O,M-H_H_O_O_n10_n20_l4,M-H_H_O_O_PC4,0.068573
M-H_H_O_O,M-H_H_O_O_n10_n21_l0,M-H_H_O_O_PC4,-0.037704
M-H_H_O_O,M-H_H_O_O_n10_n21_l1,M-H_H_O_O_PC4,0.029687
M-H_H_O_O,M-H_H_O_O_n10_n21_l2,M-H_H_O_O_PC4,0.026931
M-H_H_O_O,M-H_H_O_O_n10_n21_l3,M-H_H_O_O_PC4,-0.025170
M-H_H_O_O,M-H_H_O_O_n10_n21_l4,M-H_H_O_O_PC4,0.013896
M-H_H_O_O,M-H_H_O_O_n10_n22_l0,M-H_H_O_O_PC4,0.074306
M-H_H_O_O,M-H_H_O_O_n10_n22_l1,M-H_H_O_O_PC4,-0.067862
M-H_H_O_O,M-H_H_O_O_n10_n22_l2,M-H_H_O_O_PC4,0.125141
M-H_H_O_O,M-H_H_O_O_n10_n22_l3,M-H_H_O_O_PC4,-0.053286
M-H_H_O_O,M-H_H_O_O_n10_n22_l4,M-H_H_O_O_PC4,0.081880
