Feature,Importance
M-2H_H_H_O_atom0_PC11,0.0012208064091483511
M-2H_H_O_O_atom1_PC6,0.0012176604314038501
M-2H_M_H_Ce_PC4,0.0012025373099122157
M-2H_H_H_Ce_atom1_PC7,0.001196059356692407
M-2H_H_M_Ce_atom1_PC1,0.001191495561616336
M-2H_M_H_O_PC2,0.0011886870075401737
M-H_M_H_O_PC7,0.0011885226792681396
M-2H_M_H_O_PC11,0.0011614378381598269
M-2H_M_H_O_PC4,0.0011586620182704515
M-H_M_H_Ce_PC3,0.0011516051209543346
M-2H_H_M_Ce_atom1_PC4,0.001141358871077071
M-2H_M_O_Ce_PC2,0.0011391870713801
M-2H_H_H_O_atom1_PC8,0.0011010790703461703
M-2H_H_O_M_atom0_PC9,0.0010974623489217177
M-2H_H_O_M_atom1_PC4,0.00108678603530391
M-2H_M_O_O_PC7,0.0010863339161477504
M-2H_H_H_H_atom1_PC3,0.0010717668188650682
M-2H_H_H_O_atom0_PC13,0.0010717592722736691
M-2H_H_Ce_Ce_atom1_PC1,0.0010433535218433568
M-2H_H_H_Ce_atom1_PC2,0.0010341139422526627
M-2H_M_O_O_PC6,0.001032427822626047
M-H_H_O_M_PC2,0.0010270172403077176
M-2H_M_O_Ce_PC6,0.0010257729501958516
M-2H_H_H_O_atom1_PC4,0.0009867856973616808
M-H_M_O_O_PC3,0.0009787302992679621
M-2H_H_M_Ce_atom0_PC11,0.000923513055285558
M-2H_H_M_M_atom0_PC3,0.0009017679558076464
M-2H_H_H_Ce_atom0_PC5,0.0008996212158976205
M-2H_H_H_Ce_atom0_PC4,0.0008891159543445462
M-2H_H_H_M_atom1_PC4,0.000885701184392516
M-2H_H_M_Ce_atom0_PC3,0.0008630395787637456
M-2H_H_H_M_atom1_PC3,0.000857189274654776
M-H_H_Ce_Ce_PC2,0.0008518795294658881
M-H_H_M_Ce_PC3,0.0008394989939906518
M_M_O_O_PC2,0.0008262429092000476
M-2H_M_H_Ce_PC6,0.000820216217415731
M-2H_H_H_O_atom0_PC6,0.000817652449541272
M-2H_H_H_M_atom0_PC11,0.0007921372713202218
M-2H_H_H_H_atom1_PC2,0.0007833294208673364
M-2H_H_O_M_atom1_PC2,0.0007832454649913419
M-H_M_H_M_PC2,0.0007498615567550963
M-2H_H_H_Ce_atom0_PC2,0.0007371163395662614
M-H_M_Ce_Ce_PC1,0.0007167731769038991
Second_Ionization_Energy,0.0007132543702968097
M_M_O_O_PC6,0.0006918558068111628
M-2H_H_H_Ce_atom1_PC5,0.0006912024067815183
M-H_H_O_O_PC1,0.0006885492768675588
M-2H_H_O_M_atom1_PC8,0.0006813546996977017
M-2H_H_M_Ce_atom0_PC5,0.000662119729066276
Atomic_Radius,0.0006286207417965735
M-H_M_O_Ce_PC3,0.0006234170603900702
M-2H_H_M_Ce_atom0_PC9,0.0006201399269455145
M-2H_H_H_H_atom0_PC3,0.0006165878041963902
M-2H_M_M_Ce_PC1,0.000601955762784676
M_M_O_O_PC5,0.0005894171678257837
M-H_H_H_M_PC2,0.0005692493144509086
M-2H_M_H_H_PC5,0.0005561671157738856
M-2H_H_H_M_atom0_PC6,0.0005356930685567915
M-2H_H_H_Ce_atom0_PC9,0.0005237822969708526
M-2H_H_M_Ce_atom1_PC3,0.0005090984913605352
M-2H_H_M_M_atom1_PC2,0.00048274310894980257
M-2H_H_M_M_atom1_PC1,0.00046922002855791966
M-2H_H_O_Ce_atom0_PC7,0.0004511451101688449
M-H_M_M_Ce_PC1,0.0004479498812014719
M-2H_H_M_Ce_atom1_PC2,0.0004237804292697044
M-2H_H_H_O_atom1_PC1,0.0004002532000452706
M-2H_H_M_M_atom1_PC3,0.0003874186078485628
M-H_M_H_Ce_PC4,0.00035906724726034184
Period,0.0003312656393768164
M_M_M_Ce_PC1,0.0002991327605699227
Electron_Shells,0.00026721142236114465
M-H_H_H_H_PC1,0.0
M_M_M_M_PC1,0.0
M-H_M_M_M_PC1,0.0
M-2H_M_M_M_PC1,0.0
